sampling interval,mean_smape,lower_smape,upper_smape,mean_smape_p,lower_smape_p,upper_smape_p,mean_smape_t,lower_smape_t,upper_smape_t
0.01,0.014720695109116624,0.012809636208813603,0.016631754009419644,0.5296437878366639,0.5189181833598193,0.5403693923135084,0.500255805641727,0.5002473740009106,0.5002642372825434
0.02,0.06224688054722799,0.03930450505351231,0.08518925604094367,0.5840678929153177,0.5703165974453446,0.5978191883852908,0.6672268256389203,0.6672081984836671,0.6672454527941736
0.03,0.23236754503332788,0.19370998964488714,0.27102510042176864,0.6117502224453151,0.5985616381501044,0.6249388067405257,0.7506852113393551,0.7506614756000334,0.7507089470786767
0.04,0.3213769952608017,0.2847619662094339,0.35799202431216953,0.6202484249072178,0.6076179664358409,0.6328788833785947,0.8007010950258078,0.8006469611741005,0.800755228877515
0.05,0.35726733328436244,0.3229212749768168,0.3916133915919081,0.6137992039263906,0.6007149791118958,0.6268834287408855,0.8340383126100973,0.8339701347512329,0.8341064904689617
