Time,mean_smape,lower_smape,upper_smape,mean_smape_p,lower_smape_p,upper_smape_p,mean_smape_t,lower_smape_t,upper_smape_t,mean_smape_AIC,lower_smape_AIC,upper_smape_AIC
0.1,0.2694028552022911,0.22514306559147623,0.313662644813106,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.31764559070639303,0.26077875295869735,0.3745124284540887
0.11,0.2468503076740836,0.20547033329326778,0.2882302820548995,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.29478799586451676,0.24415493854651968,0.34542105318251387
0.12,0.2275851722560592,0.1886880894545133,0.26648225505760514,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.27742025683241317,0.2309951396816792,0.3238453739831471
0.13,0.21070319184651956,0.17413331343548913,0.24727307025755,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.26349212704375385,0.2201128244442347,0.306871429643273
0.14,0.196744026156506,0.1618318902450995,0.23165616206791248,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.2525292318328544,0.21122877206756827,0.29382969159814054
0.15,0.18427776201300305,0.15102622444477604,0.21752929958123007,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.243658537305578,0.203811824811397,0.283505249799759
0.16,0.17303959713421885,0.14141614448710854,0.20466304978132915,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.2363219660674283,0.1975117980761815,0.2751321340586751
0.17,0.1633573156183566,0.1329894591280909,0.19372517210862228,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.23014548289345801,0.19208596806616446,0.26820499772075157
0.18,0.15490714204409584,0.1255320719954712,0.18428221209272047,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417272,0.5002473740009108,0.5002642372825437,0.22486864232896037,0.18735943087724488,0.26237785378067585
0.19,0.1474534454107591,0.11887971913146309,0.17602717169005513,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.22030429169453977,0.18320223400919367,0.2574063493798859
0.2,0.14081968137174236,0.11290407316335518,0.16873528958012954,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.2163143453134288,0.17951541801301957,0.25311327261383804
0.21,0.13302672592461642,0.10721333709729902,0.15884011475193383,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417272,0.5002473740009108,0.5002642372825437,0.21279460319678542,0.17622208720302174,0.2493671191905491
0.22,0.1261213758493016,0.10207176105962297,0.15017099063898023,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.20966489709638603,0.173261470719877,0.24606832347289506
0.23,0.11994748576308367,0.09740173786712043,0.1424932336590469,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.2068624984874652,0.17058484261582754,0.24314015435910288
0.24,0.11438574610072809,0.09313982367791793,0.13563166852353825,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.20433759162853796,0.168152642174485,0.2405225410825909
0.25,0.10934295682353805,0.08923363463703626,0.12945227901003983,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.2020500925439173,0.1659323943797678,0.23816779070806676
0.26,0.10474495539750249,0.08563951935281887,0.12385039144218611,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.19996736793195713,0.1638971785747162,0.23603755728919806
0.27,0.10053179442479881,0.0823207949627782,0.11874279388681944,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.19806256955580587,0.16202448155903793,0.2341006575525738
0.28,0.0966543581800409,0.07924639547947777,0.11406232088060402,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.1963133981916476,0.1602953258012125,0.23233147058208267
0.29,0.09307192998697669,0.07638982469204737,0.10975403528190601,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417272,0.5002473740009108,0.5002642372825437,0.19470117284706412,0.158693598012754,0.23070874768137423
0.3,0.08975040582705024,0.07372833647981475,0.10577247517428573,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.19321012052060557,0.15720552593544596,0.2292147151057652
0.31,0.08666095802726685,0.07124228679385361,0.1020796292606801,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.19182682767643278,0.1558192662855617,0.22783438906730386
0.32,0.08377901921208528,0.06891461660807352,0.09864342181609703,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.19053981191617606,0.15452457710044837,0.22655504673190374
0.33,0.08108349851059994,0.06673043580748818,0.0954365612137117,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.18933918411310263,0.15331255489962,0.22536581332658526
0.34,0.078556169063314,0.06467668561665871,0.0924356525099693,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.18821637940271121,0.1521754221213344,0.22425733668408804
0.35000000000000003,0.07618118379598861,0.06274186269394393,0.08962050489803329,0.5296437878366642,0.5189181833598197,0.5403693923135088,0.5002558056417271,0.5002473740009107,0.5002642372825435,0.18716394115093887,0.1511063539321112,0.22322152836976655
