Time,mean_smape,lower_smape,upper_smape,mean_smape_ab,lower_smape_ab,upper_smape_ab,mean_smape_t,lower_smape_t,upper_smape_t,mean_smape_AIC,lower_smape_AIC,upper_smape_AIC
0.0,0.01700036764726987,0.00202040520127624,0.031980330093263495,0.4717167338599988,0.4546776171601818,0.4887558505598158,0.11165523111472395,0.07597357084751422,0.14733689138193368,0.017069986741507018,0.0004659191483384964,0.03367405433467554
0.01,0.016980722085912087,0.002019273258513806,0.031942170913310364,0.4716543115718054,0.45462047998498933,0.4886881431586214,0.11161414144763691,0.07594264220981124,0.14728564068546257,0.017069640212160814,0.00046536530007001975,0.03367391512425161
0.02,0.01696183531937199,0.0020181367886322743,0.0319055338501117,0.4715922721186494,0.45456361553831465,0.48862092869898416,0.11157323221723667,0.07591184983233168,0.14723461460214166,0.017069299384118986,0.0004648130840283378,0.03367378568420963
0.03,0.016943665692919618,0.0020169984394168266,0.03187033294642241,0.4715306112841967,0.45450702177036595,0.48855420079802747,0.11153249944984128,0.07588119030179279,0.14718380859788976,0.017068964242811357,0.00046426249504384967,0.03367366599057886
0.04,0.01692617455162706,0.0020158605097704892,0.031836488593483626,0.47146932492071514,0.4544506966519383,0.48848795318949195,0.11149193937810337,0.0758506603857382,0.14713321837046853,0.01706863477378075,0.00046371352798652704,0.033673556019574974
0.05,0.016909325975083683,0.002014724993392005,0.031803926956775364,0.47140840894765473,0.45439463817420933,0.48842217972110014,0.11145154842702588,0.07582025702030631,0.14708283983374545,0.017068310962681254,0.0004631661777645471,0.03367345574759796
0.06,0.0168930865397752,0.0020135936166730904,0.03177257946287731,0.47134785935026197,0.45433884434853405,0.4883568743519899,0.11141132320110772,0.07578997729898294,0.14703266910323248,0.01706799279527639,0.00046262043932294994,0.03367336515122983
0.07,0.016877425105818033,0.0020124678716402066,0.03174238233999586,0.4712876721782265,0.4542833132062389,0.4882920311502141,0.11137128283783815,0.07575983727644879,0.1469827283992275,0.017067680257437486,0.00046207630764248317,0.03367328420723249
0.08,0.016862312625186025,0.0020113490446396452,0.0317132762057324,0.4712278435443647,0.45422804279842005,0.48822764429030935,0.11133151912057578,0.07572991412199655,0.146933124119155,0.017067373335142175,0.0004615337777385507,0.033673212892545795
0.09,0.016847721968943716,0.0020102382413572043,0.03168520569653023,0.4711683696233351,0.4541730311957414,0.4881637080509288,0.11129191208863938,0.07570010688710618,0.14688371729017258,0.017067072014472863,0.00046099284466011303,0.03367315118428561
0.1,0.016833627771324758,0.0020091364086759766,0.03165811913397354,0.4711092466503832,0.45411827648823255,0.4881002168125338,0.11125245895543269,0.07567041319923666,0.14683450471162873,0.017066776281615258,0.0004604535034886982,0.03367309905974182
0.11,0.016820006288769434,0.002008044353800446,0.03163196822373842,0.47105120278433055,0.454064626948667,0.4880377786199941,0.11121315706318942,0.07564083079881834,0.1467854833275605,0.017066486122857202,0.00045991574933762144,0.03367305649637678
0.12,0.01680683527227365,0.002006962761013137,0.031606707783534166,0.470993972427896,0.45401177628808004,0.4879761685677119,0.1111740038750272,0.0756113575322867,0.1467366502177677,0.017066201524587224,0.00045937957735109683,0.033673023471823355
0.13,0.01679409385160516,0.0020058922063765534,0.031582295496833765,0.4709370810179683,0.4539591755204882,0.48791498651544835,0.11113499696758775,0.0755819913456286,0.1466880025895469,0.017065922473293374,0.00045884498270336305,0.033672999963883385
0.14,0.016781762430120008,0.002004833170649546,0.03155869168959047,0.4708805250213224,0.45390682281163697,0.4878542272310078,0.11109613402421215,0.07555273027839571,0.14663953777002858,0.017065648955562052,0.00045831196059808316,0.03367298595052602
0.15,0.01676982258906347,0.002003786050648347,0.03153585912747859,0.47082430095949646,0.4538547163457048,0.4877938855732881,0.11105741282860715,0.07552357245814742,0.14659125319906688,0.017065380958076914,0.00045778050626760214,0.03367298140988623
0.16,0.016758257000372975,0.002002751169251485,0.031513762831494464,0.4707684054077096,0.4538028543251075,0.4877339564903117,0.11101883125896168,0.07549451609528736,0.146543146422636,0.017065118467617702,0.0004572506149722669,0.03367298632026314
0.17,0.016747049347114188,0.00200172878421959,0.03149236991000878,0.47071283499380834,0.4537512349703073,0.4876744350173094,0.11098038728247556,0.07546555947826042,0.1464952150866907,0.017064861471059286,0.0004567222819998433,0.03367300066011873
0.18,0.01673618425078234,0.002000719095978985,0.031471649405585694,0.4706575863972325,0.45369985651961725,0.4876153162748477,0.11094207895026922,0.07543670096908334,0.1464474569314551,0.017064609955370635,0.000456195502664989,0.03367302440807628
0.19,0.016725647204787038,0.001999722254496619,0.031451572155077455,0.47060265634801374,0.4536487172290158,0.4875565954670117,0.1109039043926412,0.07540793899917948,0.14639986978610292,0.017064363907613803,0.00045567027230860105,0.03367305754291901
