t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
0.0,0.0,-22.33850608328465,-31.6076844001217,-22.722330260926523,-12.552196189369369,-3.301687586819802,-24.216497513389356,10.301181852746312,-2.106233774714576,-0.37040725557626375,-9.609474347946248,22.321737773705888,5.481041869437877,-27.265944803071232,14.972412764233969,35.785505252751314,-0.6888126043596624,29.846857409437916,-13.13026847718746,4.462386720030532,-6.434774279962092,-5.781214579148899,20.964545480280357,1.9878968737908278,34.83319399706069,2.742225898269496
0.02,0.001001001001001001,-22.3393997864273,-31.608952161128908,-22.72324188934822,-12.55270091846574,-3.3018217298781685,-24.217467459135182,10.301590009026185,-2.1063199068514074,-0.3704237483917013,-9.609862629619139,22.322627318519004,5.481260265521919,-27.26703866776986,14.973010501874684,35.78693173855516,-0.6888455225488482,29.84804817835266,-13.130799007029234,4.462564715072042,-6.4350348454881,-5.78144623793927,20.96538137212765,1.9879757831441485,34.83458652585091,2.7423318378440693
0.04,0.002002002002002002,-22.340304263857767,-31.610237680710014,-22.724159312980504,-12.5531907779071,-3.301929951545306,-24.218480994607127,10.302006003058953,-2.106399436974066,-0.37043948659582593,-9.610251121061598,22.323511659935686,5.481454148301296,-27.268161132591445,14.973617723283732,35.788353634478284,-0.6888990099400114,29.84928142598447,-13.131363021266937,4.462790119112844,-6.435325707877184,-5.781683117181154,20.966302154204996,1.9880335229293498,34.83601375990916,2.7424145997646163
0.06,0.003003003003003003,-22.341219417957742,-31.611541172703586,-22.72508246135313,-12.553665752519807,-3.3020121781214944,-24.21953825739631,10.302429871107789,-2.106472301594229,-0.3704544952738828,-9.610639728684236,22.324390851087042,5.481623454958576,-27.269312246463514,14.974234548463084,35.78977093645605,-0.6889731261963284,29.850557100050164,-13.131960523703702,4.463063028260485,-6.435646845652956,-5.78192528438148,20.967307682885913,1.9880700565686324,34.837475797302496,2.742474200729512
0.08,0.004004004004004004,-22.342145146413767,-31.612862856580957,-22.72601125873056,-12.554125825767251,-3.3020683266526745,-24.220639392253624,10.302861647486608,-2.106538437085406,-0.3704688032986651,-9.611028355555282,22.325264945551766,5.481768118860989,-27.27049206020641,14.974861102937597,35.79118364395742,-0.6890679351818424,29.851875148312224,-13.132591519679062,4.4633835451151835,-6.435998240438504,-5.782172808791878,20.968397801877064,1.9880853433295846,34.83897274166858,2.7425106634062217
0.1,0.005005005005005005,-22.343081342215314,-31.61420295750732,-22.726945624118322,-12.554570979745261,-3.302098304910067,-24.221784551107028,10.303301364563845,-2.1065977796816964,-0.3704824433340934,-9.611416901375689,22.326133997369393,5.481888069555546,-27.27170062645342,14.975497517821802,35.79259175999365,-0.6891835049730228,29.85323551854783,-13.133256016035077,4.463751778764613,-6.436379876964705,-5.782425761427451,20.96957234213703,1.9880793383163544,34.84050470220189,2.7425240164438676
0.12,0.006006006006006006,-22.344027893652967,-31.61556170640501,-22.72788547127064,-12.555001195178193,-3.3021020113690853,-24.22297389307971,10.303749052768188,-2.106650265476081,-0.3704954518386722,-9.611805262452826,22.326998061053903,5.481983232764147,-27.272937999566064,14.97614392989034,35.79399529112684,-0.6893199078714876,29.85463815851714,-13.133954021080866,4.4641678447772914,-6.436791743079864,-5.782684215086651,20.970831121790894,1.9880519924606705,34.842071793639576,2.742514294486492
0.14,0.007007007007007007,-22.34498468431681,-31.616939340018945,-22.728830708699387,-12.55541645141568,-3.3020793351875954,-24.224207584509074,10.304204740596239,-2.1066958304182575,-0.3705078690687927,-9.612193331672819,22.32785719160766,5.48205353037871,-27.274204235544577,14.976800481652125,35.79539424747827,-0.6894772204178647,29.856083015930796,-13.134685544555536,4.46463186519453,-6.437233829760706,-5.782948244372266,20.97217394604082,1.9880032525127116,34.84367413624684,2.74248153818697
0.16,0.008008008008008008,-22.34595159309505,-31.618336100984237,-22.729781239684463,-12.555816726430058,-3.3020301561835756,-24.22548579896651,10.304668454622107,-2.10673441031203,-0.37051973908184643,-9.612580998471579,22.328711444535713,5.482098880456333,-27.275499391933486,14.97746732142827,35.79678864273657,-0.689655523406775,29.857570038416707,-13.135450597589502,4.465143968520874,-6.43770613112472,-5.783217925713495,20.973600607072914,1.987933061031829,34.84531185580185,2.7424257942215204
0.18,0.009009009009009009,-22.34692849417303,-31.619752237895955,-22.730736962285576,-12.556201996814494,-3.301954344812239,-24.226808717277954,10.305140219508873,-2.106765940812261,-0.3705311097391128,-9.61296814880457,22.32956087586046,5.482119197214511,-27.276823527722307,14.978144603433838,35.79817849416567,-0.6898549019029095,29.859099173486094,-13.136249192664218,4.465704289712958,-6.438208644443855,-5.783493337389151,20.975110883960653,1.9878413563771264,34.84698508358005,2.7423471153047636
