t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
0.0,0.0,-5.037667965176364,-40.53492557042152,29.53845636900225,-26.413603931534254,12.688664186586786,-16.46542056359385,-41.64799722251291,-28.943263134779823,15.405587694023572,-11.407681410282043,-5.70810788555209,24.744162986001058,3.3996625695067837,-4.956165909573784,13.058244872093141,15.25827580362426,-10.23479853998857,-5.972326348529991,32.359295603273466,22.475224477177793,30.6152668344918,13.577654782370095,-13.668313542141385
0.02,0.001001001001001001,-5.03787433917267,-40.536551544821116,29.539633938593877,-26.414665131991494,12.689167030642265,-16.466082513002686,-41.64966899219368,-28.944425291067542,15.406198295773228,-11.408143139584253,-5.708337361301724,24.74514942971441,3.399792430980167,-4.956366690538088,13.058764427548596,15.258880396027944,-10.235209118975382,-5.972565512244071,32.36058789294452,22.47611752743652,30.6164882878546,13.578195289430436,-13.668861157989442
0.04,0.002002002002002002,-5.038096931709947,-40.538189316777924,29.540737258529536,-26.415700381673485,12.689683334242684,-16.466803361446445,-41.651351399551025,-28.945595046355933,15.406844808738299,-11.408647684010525,-5.708533428005452,24.746206654833436,3.399918566285477,-4.956623609792742,13.059281947680809,15.259440833204645,-10.235579034143239,-5.972760517568512,32.36188095433773,22.476950986999242,30.6177104357314,13.578808203592434,-13.669359119076043
0.06,0.003003003003003003,-5.038335741426729,-40.539838861831846,29.541766421870502,-26.41670955195498,12.690213136520851,-16.46758311279538,-41.65304445126411,-28.94677245780054,15.407527221883536,-11.40919504784938,-5.708696062140032,24.747334582193673,3.400040889624972,-4.956936579268513,13.059797489431139,15.259957043492157,-10.235908399288427,-5.972911232949946,32.36317472417346,22.47772478973272,30.618933253400392,13.579493454606316,-13.669807354295417
0.08,0.004004004004004004,-5.038590765255994,-40.54150016280981,29.542721517098073,-26.417692508027983,12.69075647562127,-16.468421764949674,-41.654748154607724,-28.947957584387854,15.4082455180057,-11.40978523036354,-5.708825238467415,24.748533130014334,3.4001593146099776,-4.957305511338751,13.0603111127737,15.260428956884228,-10.236197338590921,-5.973017520707374,32.36446913390713,22.478438870578703,30.620156721844236,13.580250970561037,-13.670205788326928
0.1,0.005005005005005005,-5.038861998384504,-40.54317320985013,29.543602628047847,-26.4186491089131,12.691313388670633,-16.469319309764025,-41.656462517444865,-28.949150486882054,15.408999673746374,-11.410418225708854,-5.708920930048937,24.749802213810366,3.400273754258121,-4.957730318776405,13.060822880718195,15.260856505028885,-10.23644598654007,-5.973079237069453,32.3657641096902,22.479093165522293,30.621380827741753,13.581080677802095,-13.670554341589938
0.12,0.006006006006006006,-5.03914943420896,-40.54485800042682,29.54440983385246,-26.419579207471532,12.691883911747624,-16.470275732964883,-41.65818754822024,-28.95035122777292,15.409789659599337,-11.411094022846388,-5.708983108260059,24.751141746294937,3.400384120989561,-4.958210914704764,13.061332859313156,15.26123962123077,-10.236654487863436,-5.973096232216275,32.36705957233149,22.47968761156604,30.62260556345982,13.581982500835908,-13.670852930200406
0.14,0.007007007007007007,-5.039453064288997,-40.54655453937394,29.545143208892704,-26.42048265041766,12.692468079852077,-16.47129101406032,-41.65992325595467,-28.951559871224912,15.410615439912497,-11.411812605447714,-5.709011742805658,24.752551637272383,3.4004903266222115,-4.958747212541982,13.061841117649596,15.26157824045748,-10.23682299745875,-5.973068350325682,32.3683554372589,22.480222146709817,30.623830927045468,13.582956362220854,-13.67110146592926
0.16,0.008008008008008008,-5.039772878297013,-40.54826283890997,29.545802822756936,-26.421359278332258,12.693065926873478,-16.472365126242575,-41.66166965024037,-28.952776483027368,15.411476972884445,-11.412573951793512,-5.709006801735915,24.754031793521698,3.4005922823659582,-4.959339125939445,13.062347727865028,15.261872299349944,-10.236951680328936,-5.972995429624227,32.36965161448136,22.480696709936534,30.625056922218153,13.584002182445047,-13.671299856162566
0.18,0.009009009009009009,-5.040108863964867,-40.5499829186621,29.546388740208656,-26.422208925676316,12.693677485558872,-16.47349803628333,-41.663426741237,-28.954001130545823,15.412374210555624,-11.413378034665516,-5.708968251462785,24.75558211867069,3.4006898988158616,-4.959986568714015,13.062852765147815,15.262121736236832,-10.237040711520104,-5.972877302442841,32.37094800855141,22.481111241203628,30.626283558362267,13.58511987979098,-13.671448003863507
0.2,0.01001001001001001,-5.040461007027455,-40.5517148056906,29.54690102116217,-26.423031420805472,12.694302787480192,-16.474689704421742,-41.66519453966858,-28.955233882674424,15.413307098794176,-11.414224821231938,-5.708896056777107,24.75720251306085,3.4007830859443446,-4.960689454774233,13.063356307741843,15.262326491153011,-10.237090276062485,-5.9727137952773095,32.3722445185281,22.481465681440405,30.62751085051981,13.586309370187104,-13.671545807536207
0.22,0.011011011011011011,-5.04082929116318,-40.55345853451307,29.547339720666255,-26.42382658598507,12.694941863001041,-16.475940084245305,-41.66697305682123,-28.956474809789423,15.414275577276484,-11.415114272926417,-5.7087901808663375,24.75889287360302,3.400871753092362,-4.961447698040502,13.063858436951461,15.262486505862073,-10.237100568914196,-5.972504728853635,32.373541037940555,22.48175997255122,30.628738819383294,13.587570567046487,-13.671593161191446
0.24,0.012012012012012012,-5.0412136979313455,-40.55521414712868,29.5477048888957,-26.424594237405817,12.69559474124298,-16.477249122563602,-41.6687623045415,-28.957723983703733,15.415279579462478,-11.416046345320641,-5.708650585332964,24.76065309362404,3.4009558089595435,-4.9622612123593335,13.064359237146668,15.262601723882913,-10.237071794907768,-5.972249918198393,32.374837454752125,22.481994057424533,30.62996749128887,13.588903381092653,-13.671589954314266
0.26,0.013013013013013013,-5.041614206706486,-40.556981693042346,29.547996571150684,-26.425334185200118,12.69626145005133,-16.47861675927503,-41.670562295235605,-28.958981477622533,15.416319032565713,-11.417020987990739,-5.708477230213596,24.762483062704394,3.401035161593319,-4.963129911411693,13.064858795768497,15.262672090520391,-10.23700416869935,-5.971949172714166,32.37613365132519,22.482167879947802,30.631196898209627,13.59030772017273,-13.67153607183355
0.28,0.014014014014014014,-5.042030794609666,-40.55876122928879,29.54821480786384,-26.426046233459,12.696942015960566,-16.480042927226563,-41.67237304186921,-28.960247366099917,15.417393857518325,-11.418038144377547,-5.708270073998776,24.764382666507036,3.401109718377005,-4.964053708615513,13.065357203334575,15.262697552900077,-10.236897914720481,-5.971602296260173,32.37742950438678,22.48228138502828,30.63242707774914,13.59178348905805,-13.671431394093572
0.3,0.015015015015015015,-5.042463436436775,-40.56055282045649,29.548359634614997,-26.426730180249717,12.697636464159324,-16.48152755206668,-41.674194557967944,-28.96152172499657,15.418503968930866,-11.419097751640917,-5.70802907365352,24.7663517865975,3.401179386016867,-4.965032517022418,13.065854553444796,15.262678060007055,-10.236753267132341,-5.971209087238179,32.37872488499498,22.48233451861968,30.633658073135198,13.593330589232334,-13.671275796827583
