t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8
0.0,0.0,-5.405136207267257,-13.804297158939361,14.981487288990069,3.4320599948135526,-8.966138051055363,13.112784092062245,-7.0416153770789744,-9.316015629124157,13.96556446557393
0.02,0.001001001001001001,-5.405356952566214,-13.804854558109705,14.982081936230255,3.4321928726435442,-8.966497911199458,13.113302462566947,-7.041900671655535,-9.316391497838119,13.966117737902968
0.04,0.002002002002002002,-5.4055576886879075,-13.805402300165058,14.982675116498894,3.43230782616881,-8.96687631354927,13.1138100136425,-7.0421652488467785,-9.316779846577722,13.966681859491215
0.06,0.003003003003003003,-5.405738414598875,-13.805940424114539,14.983266814076016,3.4324048473821196,-8.967273243418289,13.114306769669268,-7.042409115763466,-9.31718072152152,13.967256906263968
0.08,0.004004004004004004,-5.405899129343933,-13.806468969071856,14.983857012879575,3.4324839275165075,-8.967688685679654,13.114792755628793,-7.042632278458946,-9.31759417054782,13.967842955052017
0.1,0.005005005005005005,-5.406039832042236,-13.806987974263533,14.98444569645874,3.432545057045199,-8.96812262476338,13.115267997102807,-7.042834741922053,-9.31802024324029,13.96844008359943
0.12,0.006006006006006006,-5.406160521883467,-13.807497479037238,14.985032847987283,3.4325882256817066,-8.968575044653555,13.115732520272756,-7.04301651006991,-9.318458990894069,13.96904837057118
0.14,0.007007007007007007,-5.406261198124163,-13.807997522870238,14.985618450257064,3.432613422380098,-8.969045928885507,13.116186351919811,-7.04317758574064,-9.318910466522334,13.969667895560596
0.16,0.008008008008008008,-5.406341860084174,-13.808488145377963,14.986202485671638,3.432620635335435,-8.969535260542935,13.11662951942539,-7.043317970685984,-9.31937472486339,13.97029873909667
0.18,0.009009009009009009,-5.406402507143261,-13.808969386322696,14.986784936239946,3.432609851984394,-8.970043022255021,13.117062050772173,-7.043437665563806,-9.31985182238821,13.970940982651166
0.2,0.01001001001001001,-5.406443138737826,-13.809441285622384,14.987365783570127,3.432581059006066,-8.970569196193502,13.117483974545625,-7.0435366699305,-9.320341817308485,13.971594708645565
0.22,0.011011011011011011,-5.406463754357783,-13.809903883359574,14.987945008863441,3.4325342423229435,-8.971113764069724,13.117895319936,-7.043614982233283,-9.320844769585127,13.972260000457792
0.24,0.012012012012012012,-5.40646435354356,-13.810357219790472,14.988522592908307,3.432469387102093,-8.971676707131678,13.118296116740867,-7.043672599802367,-9.321360740937273,13.972936942428769
0.26,0.013013013013013013,-5.406444935883243,-13.81080133535413,14.989098516074446,3.4323864777565247,-8.972258006160999,13.118686395368112,-7.043709518843015,-9.321889794851748,13.97362561986874
0.28,0.014014014014014014,-5.4064055010098535,-13.811236270681771,14.989672758307155,3.4322854979467587,-8.972857641469963,13.119066186839454,-7.043725734427469,-9.322431996593009,13.974326119063386
0.3,0.015015015015015015,-5.406346048598766,-13.811662066606239,14.99024529912169,3.43216643058259,-8.973475592898453,13.119435522794452,-7.0437212404867395,-9.322987413213555,13.975038527279706
0.32,0.016016016016016016,-5.4062665783652655,-13.812078764171577,14.99081611759779,3.432029257825064,-8.974111839810917,13.119794435495011,-7.043696029802265,-9.323556113564814,13.975762932771662
0.34,0.017017017017017015,-5.406167090062242,-13.812486404642762,14.991385192374294,3.431873961088661,-8.974766361093309,13.120142957830387,-7.0436500939974245,-9.32413816830849,13.976499424785574
0.36,0.018018018018018018,-5.406047583478023,-13.812885029515552,14.991952501643919,3.4317005210436973,-8.975439135150019,13.120481123322692,-7.043583423528896,-9.324733649928387,13.977248093565256
0.38,0.01901901901901902,-5.405908058434349,-13.813274680526497,14.992518023148154,3.431508917618947,-8.976130139900794,13.120808966132898,-7.043496007677869,-9.325342632742684,13.97800903035688
0.4,0.02002002002002002,-5.405748514784487,-13.813655399663075,14.993081734172286,3.431299130004492,-8.976839352777652,13.12112652106734,-7.043387834541083,-9.325965192916689,13.978782327413553
0.42,0.02102102102102102,-5.405568952411487,-13.814027229173977,14.99364361154056,3.431071136654803,-8.97756675072179,13.121433823584722,-7.043258891021708,-9.326601408476042,13.979568077999607
0.44,0.022022022022022022,-5.405369371226579,-13.814390211579546,14.994203631611484,3.4308249152920562,-8.978312310180488,13.121730909803615,-7.0431091628200395,-9.327251359320389,13.980366376394574
0.46,0.023023023023023025,-5.405149771167709,-13.814744389682355,14.994761770273275,3.430560442909699,-8.979076007104014,13.122017816510473,-7.0429386344240195,-9.327915127237505,13.981177317896842
0.48,0.024024024024024024,-5.404910152198226,-13.815089806577936,14.99531800293944,3.430277695776259,-8.979857816942527,13.122294581168141,-7.042747289099563,-9.328592795917883,13.982000998826981
0.5,0.025025025025025023,-5.404650514305701,-13.815426505665663,14.995872304544513,3.429976649439414,-8.98065771464299,13.122561241924869,-7.042535108880691,-9.329284450969778,13.982837516530713
0.52,0.026026026026026026,-5.4043708575009015,-13.815754530659794,14.996424649539938,3.4296572787303212,-8.981475674646079,13.122817837623828,-7.042302074559452,-9.329990179934702,13.983686969381528
0.54,0.02702702702702703,-5.404071181816899,-13.816073925600659,14.996975011890106,3.429319557768217,-8.982311670883114,13.123064407813144,-7.0420481656756415,-9.33071007230338,13.984549456782913
0.56,0.028028028028028028,-5.403751487308334,-13.816384734866013,14.997523365068544,3.428963459965292,-8.983165676772982,13.123300992756427,-7.041773360506293,-9.331444219532147,13.985425079170193
0.58,0.029029029029029027,-5.403411774050814,-13.816687003182544,14.998069682054266,3.4285889580318503,-8.984037665219091,13.12352763344381,-7.041477636054946,-9.332192715059811,13.986313938011968
0.6,0.03003003003003003,-5.403052042140469,-13.816980775637552,14.99861393532829,3.428196023981756,-8.984927608606325,13.123744371603513,-7.041160968040673,-9.332955654324959,13.987216135811105
0.62,0.031031031031031032,-5.402672291693647,-13.817266097690775,14.999156096870305,3.427784629138181,-8.985835478798027,13.123951249713897,-7.040823330886863,-9.3337331347837,13.988131776105314
0.64,0.03203203203203203,-5.402272522846764,-13.817543015186398,14.999696138155526,3.4273547441396564,-8.986761247132996,13.124148311016054,-7.040464697709752,-9.334525255927879,13.98906096346724
0.66,0.03303303303303303,-5.401852735756297,-13.81781157436522,15.000234030151704,3.4269063389464365,-8.987704884422506,13.12433559952689,-7.040085040306688,-9.335332119303718,13.990003803504086
0.68,0.03403403403403403,-5.4014129305989265,-13.818071821876984,15.000769743316317,3.426439382847186,-8.988666360947354,13.124513160052748,-7.039684329144124,-9.336153828530911,13.990960402856738
0.7000000000000001,0.035035035035035036,-5.400953107571837,-13.818323804792897,15.00130324759394,3.4259538444659956,-8.989645646454932,13.12468103820353,-7.039262533345327,-9.336990489322151,13.991930869198367
0.72,0.036036036036036036,-5.400473266893161,-13.818567570618296,15.001834512413794,3.425449691769736,-8.990642710156326,13.124839280407356,-7.038819620677799,-9.337842209503115,13.992915311232501
0.74,0.037037037037037035,-5.399973408802578,-13.818803167305514,15.002363506687479,3.4249268920757605,-8.991657520723459,13.124987933925734,-7.03835555754039,-9.338709099032874,13.993913838690533
0.76,0.03803803803803804,-5.399453533562068,-13.819030643266904,15.002890198806897,3.424385412059961,-8.992690046286253,13.125127046869263,-7.037870308950103,-9.33959127002475,13.994926562328645
0.78,0.03903903903903904,-5.398913641456816,-13.819250047388044,15.003414556642365,3.423825217765191,-8.993740254429838,13.12525666821386,-7.037363838528569,-9.340488836767602,13.995953593924142
