t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
0.0,0.0,-20.71461603862646,-7.412747059171343,-13.525325532527287,-19.9225530403965,-20.712005989653907,2.049421283713649,33.762130497393855,-2.5284392002819223,37.6003075806238,10.712817099788001,-24.590719241330838,27.316078550024773,5.4277193014823,-26.417377406734513,-0.43231194999925443,-21.31669337383943,0.1810214320037526,-0.31199247113009554,-5.532003763538015,7.266249337098524,1.783863476758769,39.03308291681149
0.02,0.001001001001001001,-20.715448990518283,-7.413049718903958,-13.52586810349559,-19.92335612198293,-20.71283901507563,2.0494999456674443,33.763479024431334,-2.5285417073946617,37.6018072901127,10.713243665837544,-24.591705762680274,27.31716875018262,5.427935691681937,-26.418434498013895,-0.432332588599333,-21.31754699546621,0.18102745602560003,-0.31201051143497366,-5.532229745414285,7.266534075032557,1.7839336015626925,39.03464066691494
0.04,0.002002002002002002,-20.716248481374063,-7.413365138357537,-13.526429930551776,-19.92415170303812,-20.71361087837193,2.0495816575785257,33.7648175362046,-2.528655158832078,37.60329162706624,10.71372563907147,-24.592675997770066,27.318240283084446,5.42816420543002,-26.41951688639416,-0.43235082415712794,-21.31837720005524,0.1810160689166816,-0.31202368424284505,-5.532464102893754,7.266801779107831,1.7839763791457521,39.03616121890248
0.06,0.003003003003003003,-20.717014537646026,-7.413693338918646,-13.527010975175159,-19.924939737626453,-20.714321575331088,2.049666389935967,33.76614613980285,-2.528779574300499,37.604760542301065,10.714262963252835,-24.593629894095184,27.319293137112073,5.4284048543312995,-26.420624614421772,-0.4323666564713923,-21.31918408304885,0.18098728965957223,-0.3120319739162255,-5.5327067975634625,7.267052474537959,1.7839917866990276,39.037644589351466
0.08,0.004004004004004004,-20.717747186060087,-7.414034337591262,-13.527611191850468,-19.92572017725607,-20.71497110817503,2.0497541140386364,33.767464942899146,-2.528914973214131,37.606213986795254,10.71485558950202,-24.594567402275384,27.32032730071962,5.428657653943155,-26.421757724218697,-0.4323800851930138,-21.31996773629907,0.1809411324145576,-0.31203536691566547,-5.532957792788433,7.267286179484232,1.7839798004386884,39.03909079007136
0.1,0.005005005005005005,-20.718446453607697,-7.414388147006414,-13.528230528065471,-19.92649297087741,-20.715559485538325,2.0498448019902487,33.76877405374258,-2.529061374700796,37.60765191167895,10.715503476262647,-24.595488476043595,27.321342762434064,5.428922623777124,-26.42291625748224,-0.43239110982396706,-21.320728248058607,0.1808776065396249,-0.3120338517964388,-5.533217053718365,7.267502905062699,1.7839403955983508,39.0404998281024
0.12,0.006006006006006006,-20.71911236753735,-7.414754775432028,-13.528868924307476,-19.927258064881904,-20.71608672244988,2.0499384266944647,33.77007358115062,-2.529218797607095,37.609074268224994,10.71620658926691,-24.596393072235053,27.32233951085556,5.429199787301321,-26.424100255484348,-0.4323997297164884,-21.321465702971487,0.18079671661229837,-0.31202741920404387,-5.533484547295181,7.267702655350684,1.7838735464215998,39.04187170571325
0.14,0.007007007007007007,-20.71974495534568,-7.415134226782938,-13.529526314058756,-19.928015403100925,-20.71655284031731,2.0500349618500406,33.77136363450167,-2.529387260503003,37.610481007839496,10.716964901500367,-24.59728115077718,27.32331753465747,5.429489171943746,-26.425309759070313,-0.4324059440724738,-21.32218018206337,0.1806984624533149,-0.3120160618685236,-5.533760242261403,7.267885427392739,1.783779226154683,39.043206420397716
0.16,0.008008008008008008,-20.72034424476821,-7.415526500631063,-13.530202623790887,-19.928764926804885,-20.716957866914008,2.0501343819460316,33.77264432372785,-2.5295667816859018,37.61187208205242,10.717778393166165,-24.598152674680225,27.32427682258616,5.429790809096471,-26.426544808656896,-0.43240975194309894,-21.322871762731545,0.18058283915213827,-0.3119997745976106,-5.5340441091693755,7.268051211206031,1.7836574070393854,39.044503964870415
0.18,0.009009009009009009,-20.720910263769703,-7.41593159221573,-13.530897772958046,-19.92950657470258,-20.71730183636891,2.050236662257045,33.77391575930803,-2.5297573791840455,37.61324744250809,10.718647051648748,-24.59900761002864,27.325217363460535,5.4301047341206985,-26.427805444229875,-0.43241115222866044,-21.323540518734557,0.18044983709431306,-0.3119785542687061,-5.534336120391323,7.2681999897851615,1.783508060306094,39.045764327061434
