t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
0.0,0.0,-3.4352964403572996,0.5039681259751972,33.23391040519126,14.398900065886636,-20.90138376552825,-28.69662451263285,21.055862499921083,10.331681055719447,-7.809939472055907,5.137693205081615,7.804903603002789,-30.44960445507072,0.07069877216887259
0.02,0.001001001001001001,-3.4354385735513286,0.5039823071733959,33.235235859689226,14.399470745233826,-20.902224786669812,-28.697773310250888,21.056699983482925,10.332088549900737,-7.81025708002159,5.1378954776406,7.805214629610446,-30.45082537548876,0.07070066055309464
0.04,0.002002002002002002,-3.435640651750628,0.5039928615216376,33.23655755372912,14.40003158052631,-20.9030219395483,-28.69894756663738,21.057566547552604,10.33247376392817,-7.810569758609699,5.138081976577483,7.805551205695753,-30.45204285378726,0.07073636810405916
0.06,0.003003003003003003,-3.435902672061749,0.5039998338672086,33.23787540367858,14.400582592637782,-20.9037752444113,-28.70014714816555,21.058462125967974,10.332836667171982,-7.810877492322325,5.138252677653455,7.805913334568122,-30.453256871025093,0.07080587974278714
0.08,0.004004004004004004,-3.4362246390582882,0.5040032707709055,33.23918932413739,14.401123805381008,-20.90448472111482,-28.701371917133063,21.059386650400498,10.333177228971328,-7.811180266666284,5.138407558876106,7.806301016245245,-30.454467405926586,0.0709091824184327
0.1,0.005005005005005005,-3.4366065647797712,0.5040032205037429,33.240499227935985,14.401655245498565,-20.905150389111206,-28.70262173176571,21.060340050349886,10.333495418644874,-7.811478068159299,5.138546600489124,7.806714247442885,-30.455674434861592,0.07104626511438634
0.12,0.006006006006006006,-3.4370484687273533,0.5039997330444861,33.241805026135175,14.40217694265275,-20.905772267438376,-28.703896446221897,21.061322253138275,10.333791205501841,-7.811770884336113,5.138669784962706,7.807153021562915,-30.456877931826284,0.07121711885374515
0.14,0.007007007007007007,-3.437550377856328,0.5039928600779953,33.24310662802725,14.402688929414637,-20.906350374710406,-28.705195910598015,21.062333183903934,10.334064558853507,-7.812058703754526,5.138777096984687,7.807617328679601,-30.458077868424613,0.07142173670414742
0.16,0.008008008008008008,-3.438112326565429,0.5039826549943697,33.24440394113831,14.403191241252307,-20.90688472910944,-28.706519970934686,21.06337276559454,10.334315448025173,-7.812341516001353,5.1388685234524,7.808107155524156,-30.459274213850446,0.07166011378196566
0.18,0.009009009009009009,-3.4387343566829114,0.503969172888874,33.24569687123198,14.403683916518228,-20.907375348378924,-28.707868469223932,21.064440918960052,10.334543842368566,-7.812619311698301,5.13894405346525,7.808622485467526,-30.460466934870393,0.07193224725584957
0.2,0.01001001001001001,-3.4394165174493754,0.5039524705626329,33.24698532231441,14.404166996435798,-20.907822249818185,-28.709241243417313,21.065537562545188,10.334749711274716,-7.81289208250777,5.1390036783180335,7.80916329850145,-30.461655995807327,0.07223813634960774
0.22,0.011011011011011011,-3.4401588654973145,0.5039326065240749,33.24826919664064,14.404640525085046,-20.908225450278337,-28.710638127435033,21.066662612681526,10.334933024187265,-7.8131598211385676,5.139047391494978,7.80972957121776,-30.462841358524592,0.07257778234441373
0.24,0.012012012012012012,-3.4409614648273403,0.5039096409911078,33.24954839472232,14.405104549387483,-20.90858496615951,-28.712058951176076,21.06781598347929,10.33509375061624,-7.813422521351534,5.139075188664533,7.810321276785947,-30.464022982410913,0.07295118858031947
0.26,0.013013013013013013,-3.441824386781046,0.5038836358940052,33.25082281533674,14.405559119090107,-20.908900813409424,-28.71350354052939,21.068997586818785,10.335231860152266,-7.813680177965088,5.139087067674888,7.810938384928982,-30.465200824366015,0.07335836045705613
0.28,0.014014014014014014,-3.4427477100104578,0.5038546548789832,33.2520923555373,14.406004286748566,-20.909173007523275,-28.714971717386156,21.07020733234158,10.335347322481232,-7.813932786860678,5.139083028550235,7.811580861897396,-30.466374838786958,0.07379930543409935
0.3,0.015015015015015015,-3.4437315204440218,0.5038227633124438,33.253356910665296,14.40644010770946,-20.909401563544954,-28.716463299653157,21.07144512744139,10.335440107399398,-7.814180344988146,5.139063073487776,7.812248670441625,-30.46754497755522,0.07427403302997318
0.32,0.016016016016016016,-3.444775911249061,0.5037880282858631,33.25461637436314,14.40686664009181,-20.90958649606959,-28.717978101267317,21.072710877254718,10.335510184828946,-7.814422850370989,5.139027206855461,7.812941769782619,-30.468711190024496,0.07478255482076361
0.34,0.017017017017017015,-3.4458809827906416,0.503750518621297,33.255870638588924,14.407283944767634,-20.90972781924742,-28.719515932211397,21.074004484651304,10.335557524833979,-7.814660302111539,5.138975435190478,7.81366011558072,-30.469873423009286,0.07532488443781005
