t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
0.2,0.01001001001001001,10.211931113255906,-29.63655447379084,18.247627870025386,30.611844608833152,-5.248014846391402,0.4483219439008849,-21.544089494324556,32.662587455185275,-30.409694286333853,26.011572904765874,12.586021410010602,-28.554407159316867,-25.93629759373726,-5.61075319129935,-4.957056125430906,26.16329092465281,7.053612187484493,33.21971499405663,19.80061958578905,38.989449561914526,33.18631039013208,-37.581298684305054,-10.197011961542763,-31.138181575409995,14.048605730931223,33.51251616220117,11.598318763559847,-26.95618099172956,36.955550534572474,-10.344949389018057,-24.794714453727487,39.215462607645314,-21.664102714336543,18.640534429075096,12.006841631667397,-32.384849171245875,-0.6445672104970921,-31.311186884079554,-35.184183294971206,-26.241978819064773,-15.337159561035723,-11.717207327267486,15.555001585259845
0.22,0.011011011011011011,10.212316388639836,-29.637949126631693,18.24843333698512,30.613264996177346,-5.248088122626535,0.4481991219606068,-21.544974953479826,32.66339107933346,-30.411115375698014,26.01250374941618,12.587108767246814,-28.5557880881298,-25.93715207443304,-5.610948748323433,-4.95749514112151,26.164149738662264,7.054190224698184,33.2204967653389,19.801353458062668,38.991064240194916,33.18702303158987,-37.5820894443544,-10.197964059920329,-31.13921334380914,14.04886882635815,33.51287431934587,11.598916731663431,-26.957189966297413,36.95710711366388,-10.345624129252434,-24.79545796160185,39.21680896385577,-21.664735302794842,18.641784720746728,12.008145563862268,-32.38649068328276,-0.6439740816409869,-31.312336458499814,-35.18599880369604,-26.242274822365296,-15.337967468494886,-11.717780454160431,15.555904658875054
0.24,0.012012012012012012,10.212699894349125,-29.639363615711375,18.249248106370725,30.614704878102184,-5.248146425550901,0.448063457964277,-21.545864595977623,32.66414375974792,-30.41255469827885,26.0134240698189,12.58825450901475,-28.55719246783169,-25.937987509164216,-5.611140275071799,-4.957957297328071,26.164989785066613,7.054797121371689,33.22122358879387,19.80208162726631,38.99268366699106,33.18767431140503,-37.582808988730754,-10.198970560829974,-31.140223143888967,14.04910236607865,33.51313438872865,11.599528436263084,-26.95819229464351,36.95867201039287,-10.34632525777821,-24.796176107641422,39.21813396005265,-21.665345102106905,18.643083926380786,12.009532550556683,-32.38816760593012,-0.6433183425873137,-31.31347277989774,-35.18785607673478,-26.242494870687306,-15.338795025834285,-11.718361949271356,15.556835762824182
0.26,0.013013013013013013,10.213081618840564,-29.640797903597253,18.25007244537521,30.616164191582058,-5.248189644588546,0.44791513430344954,-21.546758782240204,32.66484543853577,-30.414011924868912,26.014333855847383,12.589458520926552,-28.558620298507652,-25.93880381483059,-5.611327635759495,-4.958442499055012,26.16581094996478,7.055432667510298,33.221895384154756,19.802804059929837,38.99430760237428,33.188264214314884,-37.583457264169695,-10.200031487815943,-31.141210847656723,14.049306301824412,33.51329638482556,11.600153915959643,-26.959188062761548,36.96024525471169,-10.347052884552909,-24.79686880222435,39.21943768530799,-21.665932266207943,18.644431694633603,12.011002727099973,-32.38988009862493,-0.6425999171143394,-31.314595360834353,-35.189755407784105,-26.24263886328683,-15.339642423961168,-11.718951528279149,15.557794856761817
0.28,0.014014014014014014,10.213461548856806,-29.642251968880437,18.2509066355871,30.61764287627961,-5.248217675122659,0.44775433783773155,-21.54765787829876,32.665496078956416,-30.415486724480548,26.015233099854004,12.5907206848189,-28.560071583622115,-25.939600903589046,-5.611510694675802,-4.958950653370387,26.166613114290598,7.056096636185687,33.2225120679251,19.803520723199743,38.995935799768624,33.18879273072304,-37.58403420380135,-10.20114686531524,-31.14217632273612,14.049480586482693,33.51336032277278,11.6007932170335,-26.96017734671994,36.961826880766324,-10.34780712474191,-24.797535953875723,39.22072022753983,-21.66649695235792,18.64582766777317,12.01255623472869,-32.39162831967372,-0.6418187329519566,-31.31570370334535,-35.19169710577656,-26.24270669973779,-15.340509865443023,-11.719548905305002,15.558781898503868
0.3,0.015015015015015015,10.213839669379993,-29.643725806124607,18.2517509729869,30.619140874601225,-5.248230418407656,0.447581259912994,-21.548562256088356,32.666095665381754,-30.416978764393455,26.01612179671225,12.592040878749488,-28.5615463300859,-25.94037868282413,-5.611689316178188,-4.959481669423251,26.167396153870246,7.056788783778233,33.2230735533972,19.804231584851426,38.99756800600907,33.18925985671259,-37.58453972705426,-10.202316718604063,-31.14311943228363,14.049625174154977,33.51332621836894,11.601446393500572,-26.961160212744804,36.963416926942706,-10.348588098718468,-24.79817746925038,39.22198167349819,-21.667039321221427,18.6472714818746,12.014193220456471,-32.39341242624342,-0.6409747218439387,-31.316797299122225,-35.19368149492687,-26.2426982799345,-15.341397564687158,-11.720153792922444,15.559796844006167
0.32,0.016016016016016016,10.214215963584262,-29.645219425806417,18.252605767943653,30.620658131753405,-5.248227781483112,0.44739609638221467,-21.54947229374487,32.66664420325017,-30.418487710205092,26.016999943859698,12.59341897698569,-28.56304454832548,-25.941137055116457,-5.611863364684915,-4.960035458459252,26.16815993948658,7.057508850230357,33.22357975068083,19.804936613301358,38.999203961403744,33.1896655940597,-37.58497373957338,-10.203541073745548,-31.14404003490452,14.049740020217502,33.513194088096746,11.602113507171655,-26.962136717299153,36.965015435913934,-10.349395932064926,-24.798793253116308,39.223222108748935,-21.66755953694869,18.648762767020237,12.01591383695205,-32.39523257435158,-0.6400678196099893,-31.317875629703614,-35.195708914778955,-26.24261350409768,-15.342305748130364,-11.720765902171154,15.560839647341577
0.34,0.017017017017017015,10.21459041278706,-29.646732854247382,18.253471345211675,30.622194595800117,-5.248209677089511,0.44719904762900553,-21.550388375904447,32.66714171901446,-30.420013225883928,26.017867541342,12.594854849985458,-28.56456625235441,-25.941875918209032,-5.612032704666416,-4.960611933834433,26.168904336950444,7.058256559310805,33.22403056674252,19.805635777619198,39.00084339980035,33.19000995024775,-37.585336133152275,-10.204819957538842,-31.144937984568546,14.049825081383608,33.51296394916432,11.602794627715218,-26.963106907158352,36.966622454688626,-10.350230755575085,-24.799383208338565,39.22444161765555,-21.668057767257892,18.650301147504358,12.017718242405206,-32.39708891885608,-0.6390979662075792,-31.318938166676798,-35.197779720253514,-26.242452272783947,-15.343234654438847,-11.721384942574645,15.561910260675631
0.36,0.018018018018018018,10.214962996399242,-29.648266133537163,18.254348043927454,30.623750217721042,-5.2481760235857795,0.4469903185938769,-21.551310894005812,32.66758826008373,-30.42155497382559,26.01872459185783,12.596348364370547,-28.566111459846958,-25.942595164971397,-5.6121972006355465,-4.96121101102725,26.169629207179028,7.059031618889723,33.22442590545549,19.80632904753981,39.00248604865675,33.19029293848209,-37.58562678567972,-10.206153397469555,-31.14581313052522,14.049880315767851,33.512635819566185,11.603489832723659,-26.96407081948183,36.96823803466037,-10.351092705257575,-24.79994723586366,39.22564028335883,-21.668534183518897,18.651886242042558,12.019606600380415,-32.39898161344432,-0.6380651057935728,-31.319984371889287,-35.1998942816958,-26.24221448689887,-15.344184534718645,-11.72201062216184,15.563008634240656
0.38,0.01901901901901902,10.215333691873878,-29.649819321448124,18.255236217606708,30.625324951470798,-5.2481267448685776,0.4467701188032878,-21.552240246595943,32.66798389475934,-30.423112614911858,26.01957110080495,12.597899382892152,-28.567680192213853,-25.94329468336161,-5.612356717136836,-4.961832607648784,26.170334406281263,7.05983372122442,33.22476566766036,19.807016393475198,39.0041316291157,33.19051457770542,-37.58584556110068,-10.207541421661638,-31.146665317218513,14.049905682951847,33.51220971816422,11.604199207783115,-26.965028481881053,36.96986223165825,-10.35198192234017,-24.800485234704276,39.22681818775451,-21.668988960838572,18.65351766398578,12.021579079657979,-32.40091081062192,-0.6369691867856475,-31.32101369767044,-35.20205298492324,-26.2419000477136,-15.345155652736775,-11.722642647492602,15.564134716308395
