t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48
0.0,0.0,15.640142396088923,-31.63022669140045,-8.174996188078026,-24.865322831839336,-34.58394472724789,-21.015598453934164,-7.317560272829373,33.127892513081,12.19456336554156,-33.499620260619125,-7.202768697911045,-0.44602108019689196,-23.0090130772418,-34.739706462598754,8.637025874621058,43.16837792668703,42.37532493472577,-34.672579766639494,41.10710328296873,37.81302907321331,-8.161542020086697,20.509127093177128,-6.614407360192776,-9.352171574160762,34.286357762836474,4.687762855663499,-10.596542816860058,-11.054571822856953,-30.000553918321017,35.32156408990591,42.07469371951588,-24.889955128267864,-6.478381934847598,13.351896282645052,6.991018020917376,-11.993404309101964,13.429202690817792,31.286664359922238,-17.003120682099055,-4.879384555289714,-18.120924878883187,-8.413496567434242,-8.009456795617693,-22.351034425086425,25.165054263933015,2.3180478025774396,3.994191872022465,-22.968362314338325,18.510314056561874
0.02,0.001001001001001001,15.640763159698123,-31.631492825953202,-8.175326555483226,-24.86631783379296,-34.58533040360301,-21.01644110524515,-7.317854917506609,33.12921421831843,12.195046898616143,-33.500966141560994,-7.203059199456168,-0.44604064989826653,-23.00993823597555,-34.741100209486056,8.637369537174495,43.17009909030158,42.37701583422156,-34.67396791347672,41.10874539743819,37.81453801019374,-8.161871113860455,20.509941209127426,-6.614677167044336,-9.352551586276102,34.28772314435959,4.687949353795732,-10.596968124617845,-11.055017182296336,-30.001756863413668,35.32297371492303,42.07637484576241,-24.89095417417153,-6.4786465909750754,13.35242904023033,6.991294618537178,-11.993886449290589,13.429735815203554,31.28791097918649,-17.003802674050714,-4.879583285816791,-18.121652899358818,-8.413837730920514,-8.009781123115808,-22.351932880146204,25.166059041302415,2.3181400155568,3.9943486205464556,-22.969282804477245,18.511050720219107
0.04,0.002002002002002002,15.641460198923227,-31.632749864799372,-8.175698290983686,-24.867263402133613,-34.58678047215903,-21.01725761393329,-7.31809908701535,33.13052799629746,12.195541992348213,-33.50228787857008,-7.2033910182954815,-0.4461096112082108,-23.01090109642169,-34.74245604050722,8.637750279454638,43.17187793841427,42.37874185463545,-34.67534342722559,41.11035374737828,37.816045701558714,-8.162211834154178,20.510710224632163,-6.615059514420618,-9.352903023740334,34.28918854065749,4.688090607518622,-10.597429624464676,-11.05546973689786,-30.002916488596806,35.324347710047675,42.078082678371224,-24.89199253199637,-6.478896446525315,13.353020630932944,6.991561545685911,-11.994367877412886,13.43022284362824,31.289156464058983,-17.004460067080352,-4.87979961707753,-18.12239175784774,-8.414194628395022,-8.010139659778345,-22.35276960993855,25.1669629246409,2.318202643104368,3.994572304987698,-22.970229077503113,18.511835095248678
0.06,0.003003003003003003,15.642233479875062,-31.633997779805245,-8.176111381330255,-24.868159433503653,-34.58829504455969,-21.018047997942922,-7.31829265543308,33.13183374557928,12.196048774096065,-33.50358555291649,-7.203764139288361,-0.44622800338591023,-23.011901807426057,-34.74377397711599,8.638168030099562,43.173714400465165,42.38050307768501,-34.67670639280375,41.11192812830387,37.817552039010174,-8.162564009083209,20.511434089275546,-6.615554251221193,-9.353225903190504,34.29075400478524,4.688186584438461,-10.597927443794164,-11.055929544756792,-30.004032799940283,35.32568603551959,42.07981742316481,-24.893069922264456,-6.479131400663901,13.353671173965974,6.991818810661392,-11.994848466206106,13.430663698543185,31.290400886544965,-17.00509302070602,-4.8800334825298775,-18.123141570442495,-8.414567163131139,-8.010532373115641,-22.353544605524203,25.167765911178645,2.318235793351463,3.9948628598957834,-22.97120120791299,18.512667006997955
0.08,0.004004004004004004,15.643082981477328,-31.635236550432094,-8.176565809265705,-24.869005841544443,-34.58987423052224,-21.018812266096564,-7.318435511576484,33.133131370519884,12.196567360813326,-33.504859241476694,-7.204178555825669,-0.4463958622492922,-23.01294052139752,-34.74505403577705,8.638622712671419,43.175608390502774,42.38229958021077,-34.67805688424055,41.113468352961,37.81905691792282,-8.162927455287255,20.512112748177053,-6.616161216946399,-9.353520233450812,34.292419592457286,4.688237253365594,-10.598461713130627,-11.05639666891173,-30.00510580852597,35.32698865442098,42.08157929298477,-24.8941860599156,-6.4793513509800755,13.35438079305128,6.9920664191697535,-11.995328085734561,13.431058286592034,31.291644321299056,-17.005701690197142,-4.880284815945306,-18.1239024648236,-8.414955241540515,-8.010959225807648,-22.354257863567828,25.16846799982369,2.318239573646927,3.9952202324760484,-22.972199268371163,18.51354626243955
0.1,0.005005005005005005,15.64400869541102,-31.63646616372878,-8.17706155343365,-24.86980255683186,-34.59151813785542,-21.019550418067702,-7.318527558944451,33.134420781269704,12.197097859085474,-33.50610901677839,-7.204634269799241,-0.4466132201075877,-23.014017394287126,-34.74629622793153,8.639114245690152,43.177559807028224,42.38413143402351,-34.679394964708955,41.114974251322,37.820560237369676,-8.163301978021494,20.512746142009284,-6.616880241535661,-9.353786015559875,34.29418536189185,4.688242584287142,-10.599032566095701,-11.056871177324734,-30.006135530506743,35.32825553266067,42.08336850769373,-24.89534065420086,-6.479556193472666,13.355149616332305,6.9923043743351005,-11.995806603388422,13.431406498611526,31.29288684567038,-17.006286226645546,-4.880553551396552,-18.12467458025012,-8.415358773152375,-8.011420175778557,-22.354909386255176,25.16906919120387,2.318214090570506,3.9956443825838965,-22.97322332972396,18.514472650175907
0.12,0.006006006006006006,15.645010626058896,-31.637686614324704,-8.177598588278146,-24.870549526813633,-34.593226872471995,-21.020262444353428,-7.318568715673157,33.13570189377315,12.197640365159627,-33.507334947045926,-7.205131291562899,-0.44688010568744085,-23.015132585560934,-34.74750055996317,8.639642542667326,43.17956853282565,42.38599870574173,-34.680720686558104,41.11644567058229,37.82206190014566,-8.16368737125059,20.513334207018616,-6.617711145179065,-9.354023242794675,34.29605137364476,4.688202548343306,-10.599640139369715,-11.057353142862407,-30.007121987167203,35.32948663896581,42.085185294174664,-24.896533408579604,-6.47974582253755,13.355977776275365,6.992532676705112,-11.996283883885567,13.431708209626764,31.294128539746197,-17.00684677704038,-4.880839623246849,-18.125458067552596,-8.415777670590883,-8.01191517626551,-22.355499181213947,25.169569487727017,2.318159449945838,3.996135282716095,-22.974273461013162,18.515445940442174
0.14,0.007007007007007007,15.646088790449864,-31.63889790442298,-8.178176883933997,-24.871246715748626,-34.59500053839584,-21.020948326246852,-7.318558914503261,33.13697462976814,12.198194964967671,-33.50853709624623,-7.205669639884972,-0.44719654405252685,-23.016286258166613,-34.74866703316506,8.640207512140046,43.18163443477912,42.38790145661929,-34.682034091346544,41.117882475158694,37.82356181278925,-8.164083417745609,20.513876875048748,-6.618653738102502,-9.354231900691218,34.29801769043239,4.688117117807245,-10.600284572647746,-11.057842643277974,-30.008065204986085,35.33068194488114,42.087029886327485,-24.897764020620343,-6.4799201309566765,13.356865409559255,6.992751324252597,-11.996759789276558,13.431963278841032,31.295369486394037,-17.007383484346935,-4.88114296614063,-18.12625308912829,-8.416211849550566,-8.01244417588138,-22.35602726143843,25.169968893659465,2.3180757568530637,3.996692917999133,-22.975349729488016,18.51646588510758
0.16,0.008008008008008008,15.647243218203215,-31.640100043793826,-8.178796406107729,-24.871894104648174,-34.596839237763476,-21.021608035809248,-7.318498102759227,33.138238916785596,12.198761734142776,-33.50971552413522,-7.206249341892312,-0.447562556516643,-23.0174785784937,-34.74979564370697,8.640809057704935,43.183757363676435,42.389839742363336,-34.68333520987623,41.119284546689656,37.82505988560213,-8.16448988918379,20.514374073567176,-6.619707820326727,-9.354411967061875,34.300084376943765,4.687986266068546,-10.600966008590333,-11.058339761194311,-30.008965215700403,35.33184142477584,42.088902525062686,-24.89903218190555,-6.4800790098886365,13.357812656953016,6.992960312373025,-11.997234178952727,13.432171549620215,31.296609771302315,-17.007896487589377,-4.881463514995713,-18.12705981893862,-8.416661228769868,-8.013007118671556,-22.356493645217977,25.170267415222945,2.3179631156410654,3.9973172861747144,-22.976452200615903,18.517532217675544
0.18,0.009009009009009009,15.648473951472553,-31.64129304976805,-8.179457115949273,-24.87249169121952,-34.598743070820234,-21.022241535841864,-7.318386242340728,33.13949468814897,12.199340738029383,-33.510870286304794,-7.2068704330057605,-0.44797816055024015,-23.01870971632755,-34.75088638260325,8.641447078052169,43.185937154000115,42.39181361294252,-34.68462406222745,41.1206517840372,37.82655603266692,-8.164906546251176,20.514825725694653,-6.6208731814007225,-9.35456341200943,34.30225149964151,4.687809967620299,-10.601684592768786,-11.058844584087955,-30.009822056371284,35.33296505585784,42.09080345829191,-24.900337577940704,-6.480222348860812,13.358819663181686,6.993159633878027,-11.997706909657465,13.43233284947188,31.297849483019366,-17.00838592193737,-4.881801204996922,-18.12787844250873,-8.417125730002832,-8.013603944164748,-22.35689835606934,25.170465060709866,2.3178216299393424,3.9980083975824505,-22.977580938091627,18.51864465328276
0.2,0.01001001001001001,15.649781044889249,-31.64247694723057,-8.180158969914338,-24.87303948981147,-34.600712135910904,-21.022848779857398,-7.318223309726093,33.14074188297383,12.199932031686718,-33.512001434230314,-7.207532956866993,-0.4484433696803645,-23.019979844796907,-34.751939235681306,8.64212146699956,43.18817362370603,42.39382311238569,-34.6859006577946,41.121984103290906,37.828050171863005,-8.16533313874805,20.51523175023769,-6.6221496001097435,-9.354686197937808,34.30451912655163,4.6875881980497835,-10.602440473605077,-11.059357204274077,-30.010635769451504,35.33405281819579,42.092732940915305,-24.901679888067797,-6.480350035763109,13.359886576779877,6.993349278984883,-11.998177835500716,13.432446990019077,31.299088712990883,-17.008851918796612,-4.8821559715911675,-18.128709156929126,-8.417605277988939,-8.014234587417713,-22.357241422672878,25.170561840617047,2.317651402669527,3.9987662751398076,-22.978736003845395,18.51980288869749
