t,p,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
0.0,0.0,-7.136244565970132,-12.81674731736727,23.918710691069776,45.57372376410814,-8.39598147172916,-19.09480095278833,-18.834857296164305,-19.7560970523217,13.223096180490348,4.524418106552796,3.5228672853183003,-14.22974421637708,34.63915211388291,4.352301288723866,-28.29601256043098
0.02,0.001001001001001001,-7.136532298053841,-12.817261148874453,23.919664183030996,45.575546658989055,-8.396323398993767,-19.095569780053374,-18.83561544878771,-19.75689151526409,13.223624917997086,4.5245966230202646,3.523005656613755,-14.230314597632539,34.64053286010055,4.35247150578961,-28.297150220884358
0.04,0.002002002002002002,-7.136844709521602,-12.817759197322896,23.92063977057299,45.577350994835825,-8.39665877822459,-19.096342031962635,-18.83641108715829,-19.75768774909408,13.224122149637378,4.524785526986005,3.52317660176994,-14.230914031440763,34.64194743306918,4.352664871422287,-28.29828576657156
0.06,0.003003003003003003,-7.137181742494667,-12.818241438211496,23.921637323190232,45.57913688652647,-8.396987542432104,-19.09711768217952,-18.837244201757528,-19.75848583161907,13.224587819469223,4.524984845370746,3.5233801072874718,-14.23154246459014,34.6433956759881,4.352881338420315,-28.299419095970855
0.08,0.004004004004004004,-7.137543335064148,-12.81870784883195,23.922656708034683,45.5809044460995,-8.397309622387393,-19.097896705651426,-18.838114782941584,-19.759285841271154,13.225021874463273,4.525194605668384,3.523616157557011,-14.232199837013969,34.64487742820222,4.353120855859008,-28.300550105725275
0.1,0.005005005005005005,-7.137929421299305,-12.819158408264,23.923697789901002,45.58265378277495,-8.397624946633782,-19.0986790786071,-18.83902282090474,-19.76008785710488,13.225424264495418,4.525414835933834,3.523884734849244,-14.23288608176806,34.64639252520083,4.35338336909088,-28.30167869066711
0.12,0.006006006006006006,-7.13833993125608,-12.81959309737089,23.92476043121155,45.5843850029756,-8.397933441499369,-19.099464778553898,-18.839968305640962,-19.760891958794325,13.225794942339467,4.525645564770637,3.5241858193041717,-14.233601125008578,34.64794079861682,4.353668819746148,-28.30280474384312
0.14,0.007007007007007007,-7.138774790985903,-12.820011898795032,23.925844492001193,45.58609821034843,-8.398235031110442,-19.10025378427506,-18.840951226903528,-19.761698226629495,13.226133863659943,4.525886821318324,3.5245193889197326,-14.234344885970193,34.64952207622614,4.353977145733485,-28.30392815654041
0.16,0.008008008008008008,-7.13923392254481,-12.82041479695391,23.926949829901993,45.58779350578618,-8.398529637405803,-19.10104607582689,-18.84197157416282,-19.762506741512087,13.226440987004981,4.52613863523953,3.524885419539765,-14.235117276944603,34.65113618194769,4.354308281241007,-28.305048818313033
0.18,0.009009009009009009,-7.139717244002863,-12.820801778036207,23.92807630012773,45.589470987449126,-8.398817180152012,-19.101841634535916,-18.843029336562232,-19.76331758495055,13.226716273799383,4.526401036706873,3.525283884841334,-14.235918203259478,34.65278293584366,4.354662156737543,-28.3061666170092
0.2,0.01001001001001001,-7.1402246694539215,-12.821172829998169,23.929223755458384,45.59113075078702,-8.399097576959555,-19.10264044299602,-18.844124502872265,-19.76413083905446,13.226959688337805,4.526674056389594,3.52571475632144,-14.236747563257913,34.65446215412029,4.355038698974202,-28.307281438799247
0.22,0.011011011011011011,-7.140756109025779,-12.821527942560223,23.93039204622453,45.592772888561214,-8.39937074329996,-19.103442485065532,-18.84525706144282,-19.764946586528257,13.22717119777811,4.526957725439952,3.526178003283128,-14.237605248278431,34.65617364912923,4.355437830986252,-28.308393168204226
0.24,0.012012012012012012,-7.141311468890688,-12.821867107203841,23.93158102029173,45.59439749086685,-8.399636592523853,-19.104247745864285,-18.846427000153703,-19.765764910664274,13.227350772134884,4.527252075479389,3.526673592821021,-14.23849114263564,34.65791722936942,4.355859472095352,-28.30950168812517
0.26,0.013013013013013013,-7.141890651276302,-12.82219031716866,23.93279052304494,45.596004645155325,-8.399895035879986,-19.10505621177065,-18.84763430636341,-19.766585895335083,13.227498384273131,4.5275571385844575,3.5272014898063,-14.239405123601582,34.6596926994896,4.356303537912151,-28.31060687987304
0.28,0.014014014014014014,-7.142493554477062,-12.82249756744986,23.934020397372937,45.59759443625683,-8.400145982535228,-19.105867870418532,-18.848878966856155,-19.7674096249852,13.227614009902167,4.527872947272518,3.527761656871155,-14.240347061387881,34.66149986029152,4.356769940339281,-28.311708623199294
0.3,0.015015015015015015,-7.143120072866047,-12.82278885479581,23.93527048365287,45.599166946403024,-8.400389339595552,-19.10668271069437,-18.850160967787232,-19.768236184622058,13.227697627569697,4.528199534487199,3.5283540543927305,-14.241316819128757,34.66333850873387,4.35725858757478,-28.312806796327155
0.32,0.016016016016016016,-7.143770096907332,-12.823064177705986,23.936540619734906,45.60072225524993,-8.400625012127996,-19.10750072273407,-18.851480294626718,-19.769065659806362,13.227749218656099,4.528536933583642,3.5289786404765957,-14.242314252864972,34.66520843793696,4.357769384115966,-28.313901275983472
